soc_id	var_id	code	title	category	pref_name_for_society	Lat	Long	region
SCCS108	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Marshallese - Jaluit Atoll	6.28	169.49	Insular Pacific
SCCS108	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Marshallese - Jaluit Atoll	6.28	169.49	Insular Pacific
SCCS108	SCCS69	1.0	Marital Residence	Settlement, Community	Marshallese - Jaluit Atoll	6.28	169.49	Insular Pacific
SCCS108	SCCS826	26.0	Average Female Contribution to Subsistence	Gender, Data Quality	Marshallese - Jaluit Atoll	6.28	169.49	Insular Pacific
SCCS109	SCCS3	5.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Trukese	7.34	151.6	Insular Pacific
SCCS109	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Trukese	7.34	151.6	Insular Pacific
SCCS109	SCCS64	7.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Trukese	7.34	151.6	Insular Pacific
SCCS109	SCCS69	1.0	Marital Residence	Settlement, Community	Trukese	7.34	151.6	Insular Pacific
SCCS109	SCCS826	31.0	Average Female Contribution to Subsistence	Gender, Data Quality	Trukese	7.34	151.6	Insular Pacific
SCCS11	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Kikuyu	-0.67	37.17	Africa
SCCS11	SCCS588	2.0	Community-wide Exclusively Female Work Groups	Gender	Kikuyu	-0.67	37.17	Africa
SCCS11	SCCS64	6.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Kikuyu	-0.67	37.17	Africa
SCCS11	SCCS69	3.0	Marital Residence	Settlement, Community	Kikuyu	-0.67	37.17	Africa
SCCS11	SCCS826	47.0	Average Female Contribution to Subsistence	Gender, Data Quality	Kikuyu	-0.67	37.17	Africa
SCCS110	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Yapese	9.52	138.16	Insular Pacific
SCCS110	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Yapese	9.52	138.16	Insular Pacific
SCCS110	SCCS64	5.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Yapese	9.52	138.16	Insular Pacific
SCCS110	SCCS69	3.0	Marital Residence	Settlement, Community	Yapese	9.52	138.16	Insular Pacific
SCCS110	SCCS826	41.0	Average Female Contribution to Subsistence	Gender, Data Quality	Yapese	9.52	138.16	Insular Pacific
SCCS111	SCCS3	6.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Palauans	7.5	134.5	Insular Pacific
SCCS111	SCCS588	2.0	Community-wide Exclusively Female Work Groups	Gender	Palauans	7.5	134.5	Insular Pacific
SCCS111	SCCS64	5.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Palauans	7.5	134.5	Insular Pacific
