soc_id	pref_name_for_society	Lat	Long	region	Agriculture - Contribution to Local Food Supply	Average Female Contribution to Subsistence	Community-wide Exclusively Female Work Groups	Marital Residence	Population Density (from Murdock and Wilson Data)
SCCS80	Vedda	7.75	81.25	East Eurasia	3.0	7.0		1.0	1.0
SCCS81	Tanala	-22.0	48.0	East Eurasia	6.0	37.0	1.0	3.0	3.0
SCCS82	Negri Sembilan	2.58	102.25	East Eurasia	6.0	52.0		1.0	7.0
SCCS83	Javanese	-7.7	112.22	Insular Pacific	6.0	34.0	1.0	1.0	7.0
SCCS84	Balinese	-8.5	115.33	Insular Pacific	5.0	7.0		3.0	7.0
SCCS85	Iban	2.0	113.0	Insular Pacific	6.0	44.0	1.0	4.0	4.0
SCCS86	Badjau Tawi-Tawi	5.0	120.0	Insular Pacific	3.0	44.0		4.0	1.0
SCCS87	Toradja	-2.0	121.0	Insular Pacific	6.0	45.0	2.0	1.0	4.0
SCCS88	Tobelorese	2.0	127.94	Insular Pacific	6.0	45.0		1.0	4.0
SCCS89	Alorese	-8.33	124.67	Insular Pacific	6.0	63.0	1.0	3.0	7.0
SCCS9	Hadza	-3.75	35.18	Africa	1.0	50.0	2.0	1.0	2.0
SCCS90	Tiwi	-11.38	131.0	Insular Pacific	1.0	46.0		3.0	2.0
SCCS91	Northern Aranda	-24.25	133.5	Insular Pacific	1.0	26.0	1.0	3.0	2.0
SCCS92	Orokaiva	-8.5	148.0	Insular Pacific	6.0	53.0		3.0	3.0
SCCS93	Kimam	-7.5	138.5	Insular Pacific	6.0	33.0	2.0	3.0	2.0
SCCS94	Mee	-4.0	136.0	Insular Pacific	5.0	67.0		3.0	6.0
SCCS95	Kwoma	-4.17	142.67	Insular Pacific	5.0	49.0	2.0	3.0	5.0
SCCS96	Manus	-2.17	147.17	Insular Pacific	1.0			3.0	5.0
SCCS97	Lesu	-2.71	151.0	Insular Pacific	5.0	41.0	2.0	1.0	4.0
SCCS98	Trobriands	-8.54	151.01	Insular Pacific	6.0	40.0		2.0	5.0
SCCS99	Siuai	-6.76	155.45	Insular Pacific	6.0	75.0		2.0	5.0
